id,start_time,end_time,namespace,app,chaosengine,experiment,status,verdict,duration_seconds,blast_radius,rollback_performed,rollback_time_seconds,rollback_reason,pod_name,node,host_ip,cpu_before_pct,cpu_during_pct,cpu_after_pct,memory_before_mb,memory_during_mb,memory_after_mb,latency_before_ms,latency_during_ms,latency_after_ms,error_rate_before_pct,error_rate_during_pct,error_rate_after_pct,probe_name,probe_success_pct,probe_checks,probe_details,resilience_score,raw_metric_snapshot,labels,annotation
d5eaab87-f5cc-4f43-a7c1-073d8aa6198d,2025-10-10T09:43:41.802690Z,2025-10-10T09:44:01.684089Z,production,inventory,inventory-network-partition-chaos,network-partition,Completed,Pass,19.88,cluster,True,13.79,auto-detected-failure,inventory-pod-48,node-18,10.0.44.152,10.07,52.21,11.29,300.61,636.34,284.51,90.39,138.81,174.71,3.79,10.18,6.86,custom-slo-probe,15.55,6,"{'probe_name': 'custom-slo-probe', 'checks': 6, 'success_percentage': 15.55, 'failures': 0}",49.73,"litmus_chaosengine_experiment_verdict{app=""inventory"",experiment=""network-partition""} 1
litmus_chaosengine_experiment_duration_seconds{app=""inventory"",experiment=""network-partition""} 19.88
litmus_experiment_result_probe_success_percentage{app=""inventory"",probe=""custom-slo-probe""} 15.55
","{'team': 'payments-team', 'criticality': 'P1', 'release': 'v1.11.22'}",rollback-test
e65f3848-2ca3-487f-8b00-3d28cfef2315,2025-10-10T09:36:41.802690Z,2025-10-10T09:44:47.044013Z,litmus,recommendation,recommendation-process-kill-chaos,process-kill,Aborted,Pass,485.24,namespace,False,,,recommendation-pod-36,node-10,10.0.185.148,3.71,50.0,9.17,394.83,815.25,468.13,76.65,161.87,156.74,0.81,15.02,6.85,readiness-probe,60.91,3,"{'probe_name': 'readiness-probe', 'checks': 3, 'success_percentage': 60.91, 'failures': 1}",64.09,"litmus_chaosengine_experiment_verdict{app=""recommendation"",experiment=""process-kill""} 1
litmus_chaosengine_experiment_duration_seconds{app=""recommendation"",experiment=""process-kill""} 485.24
litmus_experiment_result_probe_success_percentage{app=""recommendation"",probe=""readiness-probe""} 60.91
","{'team': 'core-platform', 'criticality': 'P1', 'release': 'v4.8.40'}",rollback-test
2df8af5a-0c8c-4066-9525-e27512b5ce9f,2025-10-10T09:31:41.802690Z,2025-10-10T09:38:34.148169Z,litmus,nginx,nginx-network-partition-chaos,network-partition,Failed,Pass,412.35,cluster,False,,,nginx-pod-5,node-7,10.0.161.55,35.5,80.5,28.36,98.87,458.61,106.67,149.66,229.63,199.68,1.81,41.7,1.47,db-connectivity,9.09,1,"{'probe_name': 'db-connectivity', 'checks': 1, 'success_percentage': 9.09, 'failures': 0}",32.96,"litmus_chaosengine_experiment_verdict{app=""nginx"",experiment=""network-partition""} 1
litmus_chaosengine_experiment_duration_seconds{app=""nginx"",experiment=""network-partition""} 412.35
litmus_experiment_result_probe_success_percentage{app=""nginx"",probe=""db-connectivity""} 9.09
","{'team': 'core-platform', 'criticality': 'P2', 'release': 'v2.13.38'}",scheduled-experiment
97f27c8d-0f0c-41ba-a34a-2caa7a02af72,2025-10-10T09:16:41.802690Z,2025-10-10T09:20:33.866165Z,staging,recommendation,recommendation-process-kill-chaos,process-kill,Aborted,Awaited,232.06,node,True,91.58,auto-detected-failure,recommendation-pod-1,node-4,10.0.136.197,18.7,85.47,26.22,142.19,367.51,77.92,182.61,355.42,198.42,3.19,27.55,3.02,liveness-probe,53.94,9,"{'probe_name': 'liveness-probe', 'checks': 9, 'success_percentage': 53.94, 'failures': 0}",,"litmus_chaosengine_experiment_verdict{app=""recommendation"",experiment=""process-kill""} 0
litmus_chaosengine_experiment_duration_seconds{app=""recommendation"",experiment=""process-kill""} 232.06
litmus_experiment_result_probe_success_percentage{app=""recommendation"",probe=""liveness-probe""} 53.94
","{'team': 'search-team', 'criticality': 'P1', 'release': 'v1.3.23'}",pre-deployment-validation
754d667f-6b60-4d4a-a646-256374c45d9e,2025-10-10T09:19:41.802690Z,2025-10-10T09:20:21.268164Z,qa,payments,payments-pod-kill-chaos,pod-kill,Failed,Error,39.47,cluster,False,,,payments-pod-35,node-5,10.0.65.169,7.44,44.38,9.57,387.53,848.43,438.58,138.28,278.0,166.16,3.36,18.3,12.16,db-connectivity,12.1,4,"{'probe_name': 'db-connectivity', 'checks': 4, 'success_percentage': 12.1, 'failures': 0}",,"litmus_chaosengine_experiment_verdict{app=""payments"",experiment=""pod-kill""} 0
litmus_chaosengine_experiment_duration_seconds{app=""payments"",experiment=""pod-kill""} 39.47
litmus_experiment_result_probe_success_percentage{app=""payments"",probe=""db-connectivity""} 12.1
","{'team': 'search-team', 'criticality': 'P0', 'release': 'v5.17.14'}",rollback-test
ec46cc29-41aa-4a07-9668-e314711c70b0,2025-10-10T09:13:41.802690Z,2025-10-10T09:13:51.081239Z,litmus,nginx,nginx-network-partition-chaos,network-partition,Failed,Awaited,9.28,cluster,True,164.07,slo-breach,nginx-pod-5,node-17,10.0.121.72,37.49,77.46,36.94,324.62,718.74,262.7,20.29,100.81,51.12,2.34,31.5,8.42,readiness-probe,6.06,6,"{'probe_name': 'readiness-probe', 'checks': 6, 'success_percentage': 6.06, 'failures': 6}",,"litmus_chaosengine_experiment_verdict{app=""nginx"",experiment=""network-partition""} 0
litmus_chaosengine_experiment_duration_seconds{app=""nginx"",experiment=""network-partition""} 9.28
litmus_experiment_result_probe_success_percentage{app=""nginx"",probe=""readiness-probe""} 6.06
","{'team': 'payments-team', 'criticality': 'P0', 'release': 'v2.6.34'}",post-deployment-check
f0c790e5-0c1d-4727-8ab1-3dad040008f6,2025-10-10T09:13:41.802690Z,2025-10-10T09:17:57.822266Z,production,inventory,inventory-io-stress-chaos,io-stress,Failed,Pass,256.02,pod,True,278.28,auto-detected-failure,inventory-pod-36,node-4,10.0.25.167,7.49,41.48,1.76,190.36,172.61,166.15,197.08,242.77,271.17,2.28,19.2,11.77,http-response,66.19,8,"{'probe_name': 'http-response', 'checks': 8, 'success_percentage': 66.19, 'failures': 2}",66.51,"litmus_chaosengine_experiment_verdict{app=""inventory"",experiment=""io-stress""} 1
litmus_chaosengine_experiment_duration_seconds{app=""inventory"",experiment=""io-stress""} 256.02
litmus_experiment_result_probe_success_percentage{app=""inventory"",probe=""http-response""} 66.19
","{'team': 'core-platform', 'criticality': 'P1', 'release': 'v2.1.37'}",rollback-test
63e51de2-e91d-4424-b89b-181b3b601293,2025-10-10T09:22:41.802690Z,2025-10-10T09:30:11.848148Z,qa,nginx,nginx-pod-delete-chaos,pod-delete,Completed,Awaited,450.05,namespace,True,180.54,slo-breach,nginx-pod-11,node-2,10.0.41.218,34.61,62.87,43.44,249.39,517.8,157.34,17.31,145.36,65.14,1.58,12.01,7.62,custom-slo-probe,23.87,7,"{'probe_name': 'custom-slo-probe', 'checks': 7, 'success_percentage': 23.87, 'failures': 2}",,"litmus_chaosengine_experiment_verdict{app=""nginx"",experiment=""pod-delete""} 0
litmus_chaosengine_experiment_duration_seconds{app=""nginx"",experiment=""pod-delete""} 450.05
litmus_experiment_result_probe_success_percentage{app=""nginx"",probe=""custom-slo-probe""} 23.87
","{'team': 'search-team', 'criticality': 'P1', 'release': 'v3.2.0'}",post-deployment-check
7701d2f8-dc25-40c6-8837-fa983ca59867,2025-10-10T08:07:41.802690Z,2025-10-10T08:17:40.883082Z,production,payments,payments-pod-kill-chaos,pod-kill,Completed,Pass,599.08,node,True,134.26,slo-breach,payments-pod-23,node-3,10.0.125.95,28.44,71.26,38.18,278.89,233.19,342.31,60.58,189.89,153.25,0.67,5.29,0.0,http-response,15.54,5,"{'probe_name': 'http-response', 'checks': 5, 'success_percentage': 15.54, 'failures': 4}",47.63,"litmus_chaosengine_experiment_verdict{app=""payments"",experiment=""pod-kill""} 1
litmus_chaosengine_experiment_duration_seconds{app=""payments"",experiment=""pod-kill""} 599.08
litmus_experiment_result_probe_success_percentage{app=""payments"",probe=""http-response""} 15.54
","{'team': 'core-platform', 'criticality': 'P2', 'release': 'v3.6.43'}",pre-deployment-validation
0131d690-7cae-466b-b128-ed58a213e634,2025-10-10T08:04:41.802690Z,2025-10-10T08:09:37.479142Z,qa,nginx,nginx-pod-kill-chaos,pod-kill,Failed,Pass,295.68,cluster,False,,,nginx-pod-22,node-5,10.0.134.42,28.52,67.78,20.76,380.77,710.83,310.58,8.17,75.71,54.47,2.15,3.82,4.53,readiness-probe,89.89,4,"{'probe_name': 'readiness-probe', 'checks': 4, 'success_percentage': 89.89, 'failures': 1}",81.05,"litmus_chaosengine_experiment_verdict{app=""nginx"",experiment=""pod-kill""} 1
litmus_chaosengine_experiment_duration_seconds{app=""nginx"",experiment=""pod-kill""} 295.68
litmus_experiment_result_probe_success_percentage{app=""nginx"",probe=""readiness-probe""} 89.89
","{'team': 'payments-team', 'criticality': 'P1', 'release': 'v5.13.39'}",on-demand-run
